dataset,model,fname,ACC,DSC,iou,iouA,iouB,dice,model_
Bile Duct Branch,cycleGAN+MT2F-UNET,13_39_36096_69120_real_B_c.png,0.699371338,0.624652315,0.526628982,0.454177748,0.599080217,0.349685669,3
Bile Duct Branch,cycleGAN+MT2F-UNET,13_39_36096_69120_real_B_d.png,0.519775391,0.43675281,0.344647785,0.279388194,0.409907376,0.259887695,3
Bile Duct Branch,cycleGAN+MT2F-UNET,13_39_36608_65536_real_B_a.png,0.674072266,0.394660772,0.440584729,0.245842601,0.635326857,0.337036133,3
Bile Duct Branch,cycleGAN+MT2F-UNET,13_39_36608_65536_real_B_b.png,0.693450928,0.747130198,0.518026976,0.596335068,0.439718883,0.346725464,3
Bile Duct Branch,cycleGAN+MT2F-UNET,13_39_36608_65536_real_B_c.png,0.684051514,0.770489259,0.476976875,0.626663301,0.327290448,0.342025757,3
Bile Duct Branch,cycleGAN+MT2F-UNET,13_39_36608_65536_real_B_d.png,0.813293457,0.644343681,0.625294249,0.475300172,0.775288327,0.406646729,3
Bile Duct Branch,cycleGAN+MT2F-UNET,1_41_31488_35072_real_B_a.png,0.530090332,0.51430464,0.360315088,0.346170994,0.374459182,0.265045166,3
Bile Duct Branch,cycleGAN+MT2F-UNET,1_41_31488_35072_real_B_b.png,0.798980713,0.763074599,0.6598359,0.616912385,0.702759414,0.399490356,3
Bile Duct Branch,cycleGAN+MT2F-UNET,1_41_31488_35072_real_B_c.png,0.728607178,0.768024833,0.565313406,0.623409346,0.507217466,0.364303589,3
Bile Duct Branch,cycleGAN+MT2F-UNET,1_41_31488_35072_real_B_d.png,0.663909912,0.708218525,0.490321108,0.548249482,0.432392733,0.331954956,3
Bile Duct Branch,HE2F,13_39_33024_39424_real_B_a.png,0.945846558,0.345565185,0.576966558,0.208872046,0.945061069,0.472923279,4
Bile Duct Branch,HE2F,13_39_33024_39424_real_B_b.png,0.793914795,0.733504341,0.645743353,0.579160565,0.712326141,0.396957397,4
Bile Duct Branch,HE2F,13_39_33024_39424_real_B_c.png,0.894363403,0.235281122,0.512971687,0.133324987,0.892618387,0.447181702,4
Bile Duct Branch,HE2F,13_39_33024_39424_real_B_d.png,0.775222778,0.826168533,0.610656548,0.703822104,0.517490992,0.387611389,4
Bile Duct Branch,HE2F,13_39_33536_55296_real_B_a.png,0.675689697,0.65228061,0.508951087,0.483988444,0.53391373,0.337844849,4
